,phrase,label,sentiment,subjectivity,language,count
Deutschland,Deutschland,LOC,-0.016228070175438588,0.09711779448621555,de,266
Berlin,Berlin,LOC,-0.02964601769911504,0.017699115044247787,de,113
Europa,Europa,LOC,-0.22571428571428573,0.05714285714285714,de,70
Deutschlands,Deutschlands,LOC,0.02291666666666667,0.0625,de,48
Ukraine,Ukraine,LOC,0.1505952380952381,0.07142857142857142,de,42
Frankreich,Frankreich,LOC,0.10404040404040403,0.1090909090909091,de,33
Brandenburg,Brandenburg,LOC,-0.12142857142857144,0.10714285714285714,de,28
Russland,Russland,LOC,-0.08148148148148149,0.030864197530864196,de,27
Hessen,Hessen,LOC,0.045454545454545456,0.0,de,22
Bayern,Bayern,LOC,-0.015000000000000003,0.25,de,20
NRW,NRW,LOC,0.1131578947368421,0.017543859649122806,de,19
Brüssel,Brüssel,LOC,0.19444444444444445,0.1388888888888889,de,18
Hamburg,Hamburg,LOC,-0.05555555555555555,0.05555555555555555,de,18
Glatteis,Glatteis,LOC,-0.56875,0.0,de,16
München,München,LOC,-0.14583333333333331,0.041666666666666664,de,16
Düsseldorf,Düsseldorf,LOC,0.11333333333333334,0.06666666666666667,de,15
Deutschland.,Deutschland.,LOC,-0.03111111111111111,0.0,de,15
Rheinland-Pfalz,Rheinland-Pfalz,LOC,-0.024999999999999998,0.10714285714285714,de,14
Kiew,Kiew,LOC,0.024999999999999998,0.14285714285714285,de,14
Baden-Württemberg.,Baden-Württemberg.,LOC,-0.17307692307692307,0.0,de,13
Staaten,Staaten,LOC,0.1576923076923077,0.23076923076923078,de,13
"Podcasts
","Podcasts
",LOC,0.7000000000000001,0.0,de,12
Katar,Katar,LOC,0.1333333333333333,0.11666666666666665,de,12
Spanien,Spanien,LOC,0.11666666666666665,0.08333333333333333,de,12
Saarland,Saarland,LOC,-0.029166666666666664,0.125,de,12
Audioinhalten,Audioinhalten,LOC,0.7000000000000001,0.0,de,12
Niedersachsen,Niedersachsen,LOC,-0.225,0.16666666666666666,de,12
Schleswig-Holstein,Schleswig-Holstein,LOC,0.05833333333333333,0.0,de,12
Berliner Zoo,Berliner Zoo,LOC,0.1909090909090909,0.0,de,11
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,0.0409090909090909,0.0,de,11
Bund,Bund,LOC,-0.09090909090909091,0.18181818181818182,de,11
Gaspreisbremse,Gaspreisbremse,LOC,0.07999999999999999,0.0,de,10
China,China,LOC,-0.0625,0.05,de,10
Österreich,Österreich,LOC,0.1,0.2,de,10
Sachsen,Sachsen,LOC,-0.20999999999999996,0.2,de,10
Bremen,Bremen,LOC,-0.2,0.0,de,10
Stuttgart,Stuttgart,LOC,0.06999999999999999,0.0,de,10
Europas,Europas,LOC,0.0,0.0,de,10
Brandenburgs,Brandenburgs,LOC,0.07777777777777778,0.0,de,9
Sachsen-Anhalt,Sachsen-Anhalt,LOC,-0.2222222222222222,0.0,de,9
Erde,Erde,LOC,0.03333333333333334,0.1111111111111111,de,9
EU-Gipfel,EU-Gipfel,LOC,-0.03333333333333334,0.0,de,9
Hessen.,Hessen.,LOC,0.0,0.1111111111111111,de,9
Alpen,Alpen,LOC,-0.1111111111111111,0.0,de,9
Baden-Württemberg,Baden-Württemberg,LOC,0.07777777777777778,0.0,de,9
Thüringen,Thüringen,LOC,0.3,0.0,de,8
Schneien,Schneien,LOC,0.0,1.0,de,8
Brandenburg.,Brandenburg.,LOC,0.037500000000000006,0.0,de,8
Griechenland,Griechenland,LOC,0.26249999999999996,0.0,de,8
Nordsee,Nordsee,LOC,0.0,0.0,de,8
Montreal,Montreal,LOC,0.13333333333333333,0.25,de,8
Eisregen,Eisregen,LOC,0.06874999999999999,0.0,de,8
Zoo Berlin,Zoo Berlin,LOC,0.175,0.125,de,8
Ostsee,Ostsee,LOC,0.375,0.0,de,8
Stadt,Stadt,LOC,0.2125,0.125,de,8
Ukraine-Kriegs,Ukraine-Kriegs,LOC,-0.1625,0.0,de,8
Kiel,Kiel,LOC,-0.19999999999999998,0.0,de,7
London,London,LOC,0.0,0.0,de,7
Wien,Wien,LOC,-0.14285714285714285,0.0,de,7
Paris,Paris,LOC,0.38571428571428573,0.0,de,7
Deutsche Wetterdienst,Deutsche Wetterdienst,LOC,-0.21428571428571425,0.0,de,7
Cherson,Cherson,LOC,0.09999999999999999,0.14285714285714285,de,7
Strompreisbremse,Strompreisbremse,LOC,-0.09999999999999999,0.0,de,7
Montréal,Montréal,LOC,0.5,0.0,de,6
Privacy Center,Privacy Center,LOC,0.0,0.0,de,6
Straße,Straße,LOC,-0.029166666666666674,0.0,de,6
Kanada,Kanada,LOC,0.0,0.3333333333333333,de,6
Baden-Württembergs,Baden-Württembergs,LOC,0.026388888888888882,0.19444444444444442,de,6
bayerischen Bergen,bayerischen Bergen,LOC,-0.7000000000000001,0.0,de,6
Frankfurt,Frankfurt,LOC,0.11666666666666665,0.0,de,6
Sumpf-Haubenpilz,Sumpf-Haubenpilz,LOC,0.0,0.0,de,6
Brunsbüttel,Brunsbüttel,LOC,0.0,0.0,de,6
Schweiz,Schweiz,LOC,-0.3333333333333333,0.16666666666666666,de,6
Neuschnee am Wochenende,Neuschnee am Wochenende,LOC,-0.7000000000000001,0.0,de,6
Bayerns,Bayerns,LOC,-0.16666666666666666,0.3333333333333333,de,6
Mittagsstunden,Mittagsstunden,LOC,0.0,0.0,de,5
New York,New York,LOC,0.13999999999999999,0.0,de,5
Nürnberg,Nürnberg,LOC,0.0,0.2,de,5
Wetter:,Wetter:,LOC,-0.13999999999999999,0.0,de,5
Wilhelmshaven,Wilhelmshaven,LOC,0.07999999999999999,0.0,de,5
Corona,Corona,LOC,0.06666666666666667,0.13333333333333333,de,5
Essen,Essen,LOC,0.22999999999999998,0.0,de,5
Großbritannien,Großbritannien,LOC,0.13999999999999999,0.0,de,5
Gaseinkauf,Gaseinkauf,LOC,-0.13999999999999999,0.0,de,5
bayerischen Alpen,bayerischen Alpen,LOC,0.0,0.0,de,5
Frankreichs,Frankreichs,LOC,-0.13999999999999999,0.0,de,5
Namibia,Namibia,LOC,0.2,0.0,de,5
Wetter: Milde Temperaturen,Wetter: Milde Temperaturen,LOC,0.27999999999999997,0.0,de,5
Winter.,Winter.,LOC,-0.06999999999999999,0.5,de,5
Mária,Mária,LOC,0.13999999999999999,0.0,de,5
Indonesien,Indonesien,LOC,0.0,0.0,de,5
Berlins,Berlins,LOC,0.13999999999999999,0.2,de,5
Fürth,Fürth,LOC,0.0,0.2,de,5
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,LOC,0.42000000000000004,0.2,de,5
Athen,Athen,LOC,0.35,0.0,de,4
Hannover,Hannover,LOC,0.25,0.0,de,4
Bundes,Bundes,LOC,0.0,0.0,de,4
Moskau,Moskau,LOC,0.0,0.0,de,4
Potsdam,Potsdam,LOC,0.175,0.0,de,4
Mond,Mond,LOC,0.0,0.25,de,4
A9,A9,LOC,0.25,0.0,de,4
Schleswig-Holstein.,Schleswig-Holstein.,LOC,-0.175,0.0,de,4
Saudi-Arabien,Saudi-Arabien,LOC,0.475,0.1,de,4
Prag,Prag,LOC,-0.07500000000000001,0.0,de,4
Ski-Saison,Ski-Saison,LOC,0.0,0.0,de,4
Landkreis Ebersberg.,Landkreis Ebersberg.,LOC,0.0,0.0,de,4
Weltnaturschutzkonferenz,Weltnaturschutzkonferenz,LOC,0.0,0.0,de,4
Brunsbüttel.,Brunsbüttel.,LOC,0.0,0.0,de,4
Oberstdorf,Oberstdorf,LOC,0.0,0.0,de,4
Landtag,Landtag,LOC,0.0,0.0,de,4
Kaminöfen,Kaminöfen,LOC,0.6124999999999999,0.125,de,4
Offenbach,Offenbach,LOC,0.0,0.5,de,4
