,phrase,label,sentiment,subjectivity,language,count
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,0.007349896480331282,0.05317460317460316,de,483
DWD,DWD,ORG,0.015504720406681195,0.04593318809005084,de,459
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,0.04126984126984127,0.023809523809523808,de,63
Bundestag,Bundestag,ORG,0.05555555555555555,0.015873015873015872,de,63
EU,EU,ORG,0.15500000000000005,0.16666666666666666,de,60
SPD,SPD,ORG,0.0,0.09302325581395349,de,43
Grüne,Grüne,ORG,0.05249999999999999,0.075,de,40
FOCUS,FOCUS,ORG,0.21617647058823528,0.0588235294117647,de,34
EU-Kommission,EU-Kommission,ORG,-0.039062500000000014,0.046875,de,32
DER SPIEGEL,DER SPIEGEL,ORG,0.19843750000000002,0.015625,de,32
FDP,FDP,ORG,0.044230769230769226,0.019230769230769232,de,26
WELT,WELT,ORG,0.519047619047619,0.0,de,21
Bundesnetzagentur,Bundesnetzagentur,ORG,0.015079365079365073,0.0,de,21
Foto: dpa,Foto: dpa,ORG,-0.11428571428571428,0.0,de,21
SPIEGEL,SPIEGEL,ORG,0.12250000000000001,0.0,de,20
BASF,BASF,ORG,-0.13333333333333333,0.0,de,18
LBV,LBV,ORG,-0.07222222222222223,0.1111111111111111,de,18
CDU,CDU,ORG,0.04444444444444443,0.05555555555555555,de,18
Uniper,Uniper,ORG,-0.15882352941176472,0.11764705882352941,de,17
RWE,RWE,ORG,0.15104166666666666,0.0,de,16
Foto,Foto,ORG,-0.021875,0.03125,de,16
BILD,BILD,ORG,0.220625,0.07250000000000001,de,16
STERN,STERN,ORG,0.0,0.0,de,15
ProSieben,ProSieben,ORG,0.25,0.0,de,14
Grünen,Grünen,ORG,0.16785714285714287,0.03571428571428571,de,14
Deutschen Wetterdienst,Deutschen Wetterdienst,ORG,0.11794871794871796,0.07692307692307693,de,13
NDR.de,NDR.de,ORG,-0.008333333333333342,0.37179487179487175,de,13
DWD-Prognose,DWD-Prognose,ORG,0.15384615384615385,0.15384615384615385,de,13
FC Bayern,FC Bayern,ORG,-0.008333333333333323,0.0,de,12
FAZ,FAZ,ORG,0.07727272727272727,0.0,de,11
Kommission,Kommission,ORG,0.09545454545454544,0.045454545454545456,de,11
AfD,AfD,ORG,0.21818181818181817,0.0,de,11
WMO,WMO,ORG,-0.12727272727272726,0.09090909090909091,de,11
Bundeswirtschaftsministerium,Bundeswirtschaftsministerium,ORG,0.06999999999999999,0.0,de,10
WirtschaftsWoche Online,WirtschaftsWoche Online,ORG,0.7000000000000001,0.0,de,10
IEA,IEA,ORG,-0.2,0.4,de,10
EU-Länder,EU-Länder,ORG,0.20999999999999996,0.1,de,10
BUND,BUND,ORG,0.039999999999999994,0.0,de,10
Bundeswirtschaftsminister,Bundeswirtschaftsminister,ORG,0.26666666666666666,0.0,de,9
Sega,Sega,ORG,0.03888888888888889,0.0,de,9
AKW,AKW,ORG,0.0,0.0,de,9
UN,UN,ORG,-0.2777777777777778,0.05555555555555555,de,9
The Masked Singer,The Masked Singer,ORG,-0.01666666666666667,0.0,de,9
Shell,Shell,ORG,0.18888888888888888,0.0,de,9
Forschern,Forschern,ORG,0.5,0.0,de,8
Naturschutzbund Deutschland,Naturschutzbund Deutschland,ORG,0.0,0.0,de,8
F.A.Z.,F.A.Z.,ORG,-0.04375,0.0625,de,8
Deutschland,Deutschland,ORG,0.26249999999999996,0.125,de,8
Europäischen Union,Europäischen Union,ORG,-0.125,0.0,de,8
EU-Energieminister,EU-Energieminister,ORG,0.0,0.0,de,8
Partei,Partei,ORG,-0.042857142857142864,0.14285714285714285,de,7
den Grünen,den Grünen,ORG,0.0,0.0,de,7
IT-Umstellung,IT-Umstellung,ORG,0.24999999999999994,0.0,de,7
Deutsche Bahn,Deutsche Bahn,ORG,0.0,0.14285714285714285,de,7
Landesbund für Vogel- und Naturschutz,Landesbund für Vogel- und Naturschutz,ORG,0.0,0.2857142857142857,de,7
ruhr24.de,ruhr24.de,ORG,0.19999999999999998,0.0,de,7
NZZ,NZZ,ORG,0.09999999999999999,0.42857142857142855,de,7
CO2-Ausstoß,CO2-Ausstoß,ORG,0.0,0.8571428571428571,de,7
Deutsche Bank,Deutsche Bank,ORG,0.6666666666666666,0.0,de,6
Vereinten Nationen,Vereinten Nationen,ORG,-0.022222222222222227,0.08333333333333333,de,6
Kommunen,Kommunen,ORG,0.15,0.0,de,6
ZAMG,ZAMG,ORG,0.11666666666666665,0.0,de,6
Polizei,Polizei,ORG,0.4666666666666666,0.0,de,6
Kölner Haie,Kölner Haie,ORG,0.2333333333333333,0.0,de,6
Militär,Militär,ORG,0.05833333333333333,0.6666666666666666,de,6
RTL,RTL,ORG,0.0,0.0,de,6
Rosneft Deutschland,Rosneft Deutschland,ORG,1.0,0.0,de,6
Apple,Apple,ORG,-0.11666666666666665,0.0,de,6
SZ,SZ,ORG,0.3833333333333333,0.05555555555555555,de,6
Na,Na,ORG,0.54,0.0,de,5
Sachsen-AnhaltDer Gasspeicher-Füllstand,Sachsen-AnhaltDer Gasspeicher-Füllstand,ORG,0.7,0.0,de,5
WDR,WDR,ORG,-0.22000000000000003,0.06666666666666667,de,5
& morgen,& morgen,ORG,0.0,0.0,de,5
n-tv.de,n-tv.de,ORG,-0.2,0.0,de,5
IWF,IWF,ORG,0.13999999999999999,0.0,de,5
die Grünen,die Grünen,ORG,0.27999999999999997,0.0,de,5
RKI,RKI,ORG,0.030000000000000006,0.2,de,5
Schmuck-Trends,Schmuck-Trends,ORG,-0.5599999999999999,0.0,de,5
Finanzministeriums,Finanzministeriums,ORG,0.0,0.0,,5
Nationalbank,Nationalbank,ORG,-0.6,0.0,de,5
Co.,Co.,ORG,0.0,0.0,de,5
DW,DW,ORG,0.2,0.0,de,5
Nabu,Nabu,ORG,0.0,0.2,de,5
Landesbund für Vogelschutz,Landesbund für Vogelschutz,ORG,0.13333333333333333,0.0,de,5
Kirche,Kirche,ORG,0.0,0.0,de,5
BP,BP,ORG,0.33999999999999997,0.0,de,5
LNG-Terminal,LNG-Terminal,ORG,0.35,0.0,de,4
Bayerische Landesamt für Umwelt,Bayerische Landesamt für Umwelt,ORG,0.175,0.0,de,4
Freien Wähler,Freien Wähler,ORG,0.525,0.0,de,4
Webasto,Webasto,ORG,0.5249999999999999,0.0,de,4
CMT,CMT,ORG,0.0,0.0,de,4
Fußball-Bundesliga,Fußball-Bundesliga,ORG,0.125,0.1,de,4
US-Masters,US-Masters,ORG,0.0,0.0,de,4
Geosphere Austria,Geosphere Austria,ORG,0.25,0.0,de,4
IWH,IWH,ORG,0.325,0.0,de,4
Getty Images,Getty Images,ORG,-0.0875,0.0,de,4
Joko,Joko,ORG,0.35,0.0,de,4
Pedelec-Fahrer,Pedelec-Fahrer,ORG,-0.5,0.0,de,4
Caritas,Caritas,ORG,0.175,0.0,de,4
✔️ JETZT,✔️ JETZT,ORG,0.0,0.0,de,4
Allianz,Allianz,ORG,0.5249999999999999,0.0,de,4
FR,FR,ORG,0.175,0.0,de,4
Deutschen Wetterdiensts,Deutschen Wetterdiensts,ORG,-0.7,0.0,de,4
Engie,Engie,ORG,0.0,0.0,de,4
Tesla,Tesla,ORG,0.2125,0.0,de,4
Internationalen Energieagentur,Internationalen Energieagentur,ORG,-0.425,0.0,de,4
Vogelbestandes,Vogelbestandes,ORG,0.0,0.0,de,4
Deutschen Eishockey Liga,Deutschen Eishockey Liga,ORG,0.7,0.0,de,4
Polizei Berlin,Polizei Berlin,ORG,0.0,0.0,de,4
Frankfurter Allgemeine Zeitung,Frankfurter Allgemeine Zeitung,ORG,-0.35,0.0,de,4
Gazprom,Gazprom,ORG,0.25,0.0,de,4
Hoonigan Racing Division,Hoonigan Racing Division,ORG,0.35,0.0,de,4
Sonic,Sonic,ORG,0.175,0.0,de,4
n-tv NACHRICHTEN,n-tv NACHRICHTEN,ORG,-0.175,0.0,de,4
Die Grünen,Die Grünen,ORG,0.0,0.0,de,4
Deutschem Wetterdienst,Deutschem Wetterdienst,ORG,0.0,0.0,de,4
US-Rallyefahrer,US-Rallyefahrer,ORG,-0.75,0.0,de,4
Afghanistan,Afghanistan,ORG,0.0,0.0,de,4
Naturschutzverbände,Naturschutzverbände,ORG,0.0,0.0,de,4
Internationale Währungsfonds,Internationale Währungsfonds,ORG,0.0,0.0,de,4
nup,nup,ORG,-0.25,0.0,de,4
DIW,DIW,ORG,-0.175,0.0,de,4
Audi,Audi,ORG,0.175,0.0,de,4
Zentrum,Zentrum,ORG,-0.175,0.0,de,4
Eon,Eon,ORG,0.38749999999999996,0.0,de,4
LNG-Terminals,LNG-Terminals,ORG,-0.4666666666666667,0.0,de,4
VfB Stuttgart,VfB Stuttgart,ORG,0.0,0.0,de,4
Internationale Energieagentur,Internationale Energieagentur,ORG,0.0,0.3333333333333333,de,3
Bachmut,Bachmut,ORG,0.4666666666666666,0.0,de,3
GeoSphere Austria,GeoSphere Austria,ORG,-0.06666666666666667,0.26666666666666666,de,3
