,phrase,label,sentiment,subjectivity,language,count
Olaf Scholz,Olaf Scholz,PER,0.19523809523809524,0.11904761904761904,de,14
Wirtschaftsminister Habeck,Wirtschaftsminister Habeck,PER,0.0,0.0,de,8
Christian Lindner,Christian Lindner,PER,-0.05714285714285713,0.0,de,7
Robert Habeck,Robert Habeck,PER,-0.21666666666666667,0.0,de,6
Ex-Ski-Star Maria Höfl-Riesch,Ex-Ski-Star Maria Höfl-Riesch,PER,0.0,0.0,de,4
Friedrich Merz,Friedrich Merz,PER,-0.25,0.0,de,4
Björn Alexander,Björn Alexander,PER,0.75,0.0,de,4
Jens Spahn,Jens Spahn,PER,0.0,0.0,de,3
Martina Rupp,Martina Rupp,PER,0.0,0.0,de,3
Wolfgang Schäuble,Wolfgang Schäuble,PER,-0.08333333333333333,0.0,de,3
Hendrik Wüst,Hendrik Wüst,PER,-0.7000000000000001,0.1111111111111111,de,3
Kate Winslet,Kate Winslet,PER,0.0,0.0,de,3
Ricarda Lang,Ricarda Lang,PER,0.6666666666666666,0.0,de,3
Tanja Laub,Tanja Laub,PER,0.2333333333333333,0.0,de,3
Ursula von der Leyen,Ursula von der Leyen,PER,0.0,0.0,de,3
Yanis Varoufakis,Yanis Varoufakis,PER,-0.3333333333333333,0.0,de,3
Günther Steiner,Günther Steiner,PER,-0.3333333333333333,0.0,de,3
Andreas Wellinger,Andreas Wellinger,PER,-0.5,0.0,de,2
Georg Baselitz,Georg Baselitz,PER,0.7,0.0,de,2
Franz Beckenbauer,Franz Beckenbauer,PER,0.0,0.0,de,2
Jonathan Meese,Jonathan Meese,PER,0.7,0.0,de,2
Bayernwerk-Chef Egon Westphal,Bayernwerk-Chef Egon Westphal,PER,0.35,0.0,de,2
Kat Menschik,Kat Menschik,PER,0.0,0.0,de,2
Jakob Hein,Jakob Hein,PER,0.0,0.0,de,2
Alberto Garcia,Alberto Garcia,PER,-1.0,0.0,de,2
Angelika Multani,Angelika Multani,PER,-1.0,0.0,de,2
Stephan Kalis,Stephan Kalis,PER,0.0,0.0,de,2
Winfried Kretschmanns,Winfried Kretschmanns,PER,0.0,0.0,de,2
Roberto D,Roberto D,PER,0.0,0.0,de,2
Khaled Pirmus,Khaled Pirmus,PER,0.0,0.0,de,2
Marc Rich,Marc Rich,PER,0.0,0.0,de,2
Edward Snowden,Edward Snowden,PER,0.0,0.0,de,2
Alexander Zverev,Alexander Zverev,PER,0.0,0.0,de,2
Putins Platzhalter,Putins Platzhalter,PER,-1.0,0.0,de,2
Winfried Kretschmann,Winfried Kretschmann,PER,0.0,0.0,de,2
Rosanna Buchauer,Rosanna Buchauer,PER,0.35,0.0,de,2
Sören Pellmann,Sören Pellmann,PER,0.7,0.0,de,2
Till Martin,Till Martin,PER,0.7,0.0,de,2
Karl Lauterbach,Karl Lauterbach,PER,-0.35,0.0,de,2
Karl Geiger,Karl Geiger,PER,0.0,0.0,de,2
Dawid Kubacki,Dawid Kubacki,PER,0.0,0.0,de,2
Neil Young,Neil Young,PER,0.5,0.0,de,2
Siegfried Russwurm,Siegfried Russwurm,PER,-0.575,0.0,de,2
Aurelia de S,Aurelia de S,PER,0.0,0.0,de,2
Finanz-Geschäftsführer Stephan Schippers,Finanz-Geschäftsführer Stephan Schippers,PER,0.0,0.0,de,2
Mick Schumacher,Mick Schumacher,PER,0.0,0.0,de,2
