,Frühling,Sommer,Winter,Herbst
2022-01-05,0,0,1,0
2022-01-14,0,0,1,0
2022-02-14,0,0,1,0
2022-04-19,0,0,1,0
2022-04-27,0,0,2,0
2022-04-30,0,1,0,0
2022-05-16,0,0,1,0
2022-05-18,0,0,1,0
2022-05-20,0,0,1,0
2022-06-07,0,0,1,0
2022-06-17,0,1,0,0
2022-06-19,0,0,1,0
2022-06-24,0,0,2,0
2022-07-03,0,0,2,0
2022-07-05,0,0,1,0
2022-07-06,0,0,1,0
2022-07-10,0,0,1,0
2022-07-12,0,0,2,0
2022-07-13,0,0,1,0
2022-07-15,0,0,1,0
2022-07-16,0,0,1,0
2022-07-18,0,1,1,0
2022-07-25,0,0,1,0
2022-07-26,0,0,1,0
2022-07-28,0,1,1,0
2022-07-31,0,1,0,0
2022-08-03,0,0,2,0
2022-08-05,0,0,1,0
2022-08-07,0,0,1,0
2022-08-09,0,0,1,0
2022-08-10,0,0,2,0
2022-08-15,0,0,1,0
2022-08-23,0,1,1,0
2022-08-24,0,0,2,0
2022-08-27,0,0,1,0
2022-08-29,0,0,2,0
2022-08-30,0,0,1,0
2022-08-31,0,0,1,0
2022-09-02,0,0,2,0
2022-09-05,0,0,2,0
2022-09-08,0,0,1,0
2022-09-09,0,0,1,0
2022-09-10,0,0,2,0
2022-09-14,0,0,5,0
2022-09-15,0,0,1,0
2022-09-16,0,0,1,0
2022-09-19,0,0,1,0
2022-09-20,0,1,2,0
2022-09-21,0,0,2,0
2022-09-22,0,0,1,0
2022-09-23,0,0,2,0
2022-09-25,0,0,1,0
2022-09-26,1,0,1,0
2022-09-27,0,0,2,0
2022-09-28,0,0,6,0
2022-09-29,0,1,4,0
2022-09-30,0,0,2,0
2022-10-01,0,0,3,0
2022-10-02,0,0,2,0
2022-10-03,0,0,3,0
2022-10-04,1,2,5,0
2022-10-05,0,1,6,0
2022-10-06,3,0,4,0
2022-10-07,0,1,10,0
2022-10-08,0,0,3,0
2022-10-09,2,0,2,0
2022-10-10,0,1,6,0
2022-10-11,2,1,5,0
2022-10-12,2,0,14,0
2022-10-13,0,0,17,0
2022-10-14,1,0,11,0
2022-10-15,0,0,3,1
2022-10-16,0,1,5,0
2022-10-17,1,2,8,0
2022-10-18,0,0,11,0
2022-10-19,2,0,11,0
2022-10-20,0,2,36,0
2022-10-21,0,0,28,1
2022-10-22,0,0,12,0
2022-10-23,3,0,4,0
2022-10-24,4,3,12,2
2022-10-25,2,1,17,2
2022-10-26,1,5,18,2
2022-10-27,0,6,17,0
2022-10-28,4,2,8,2
2022-10-29,3,2,5,2
2022-10-30,4,5,6,2
2022-10-31,5,4,20,5
2022-11-01,1,2,15,2
2022-11-02,1,3,16,4
2022-11-03,4,2,19,4
2022-11-04,3,5,5,7
2022-11-05,8,0,11,3
2022-11-06,2,2,10,4
2022-11-07,3,3,8,8
2022-11-08,2,5,15,4
2022-11-09,7,2,14,9
2022-11-10,5,3,7,7
2022-11-11,4,7,9,3
2022-11-12,1,0,1,6
2022-11-13,1,0,3,2
2022-11-14,7,3,6,2
2022-11-15,4,4,29,1
2022-11-16,3,6,20,0
2022-11-17,6,5,17,12
2022-11-18,3,5,14,3
2022-11-19,2,0,13,5
2022-11-20,1,4,11,3
