,summary,Herbst,Winter,Sommer,Frühling,word
summaryOfAllWords,86971.63262901902,17393.428462704425,37887.92754812859,15209.051889590051,16481.22472856908,
Energiekrise,671.2138896521707,-3.3501464368910048,0.8161378672529653,-3.6480011063503532,-4.102494564461642,Energiekrise
Kosovo,3.3178912174022237,-0.49724931709604664,0.4054497106605215,-0.4724328225949053,-0.4917364674670234,Kosovo
energiekrise kosovo,2.6360423918272677,-0.2671986098460717,0.25789627402700593,-0.2423821153449302,-0.2616857602170485,energiekrise kosovo
verbietet,3.2070162682784327,0.5227381335175507,-0.013042806858055546,-0.43844441039571497,-0.457748055267833,verbietet
kosovo verbiet,2.5288243425700783,-0.22567441946621072,0.22454367857259003,-0.20085792496506943,-0.22016156983718754,kosovo verbiet
Krypto-Mining,2.434723847207955,-0.18775325179063257,0.19178603198799085,-0.16293675728949128,-0.18224040216160933,Krypto-Mining
verbiet krypto-mining,2.434723847207955,-0.18775325179063257,0.19178603198799085,-0.16293675728949128,-0.18224040216160933,verbiet krypto-mining
Euronews,6.036241983744923,-1.0957015416439826,0.20525520117593715,0.6487256538046646,-1.0901886920149593,Euronews
krypto-mining euronews,2.3455742439323797,-0.1504501635200487,0.15718134128826133,-0.12563366901890716,-0.14493731389102535,krypto-mining euronews
Die,183.2747334829179,-0.6947322660198482,0.3416771122031705,0.019756134153966542,-0.5555427882841255,Die
euronews die,3.164561267980739,-0.4499343375345269,0.37941691087382545,-0.42511784303338557,-0.44442148790550345,euronews die
Regierung,9.345102233911149,-1.532772292264389,0.6143385184870385,-1.5079557977632474,-0.5182345034078416,Regierung
die regierung,2.7153545900616862,-0.29684246039052925,0.28024279999324553,-0.2720259658893879,-0.29132961076150604,die regierung
regierung kosovo,2.6360423918272677,-0.2671986098460717,0.25789627402700593,-0.2423821153449302,-0.2616857602170485,regierung kosovo
Verweis,2.5998615742385853,-0.25337811439094815,0.24707110241529914,-0.22856161988980678,-0.247865264761925,Verweis
kosovo verweis,2.5998615742385853,-0.25337811439094815,0.24707110241529914,-0.22856161988980678,-0.247865264761925,kosovo verweis
